Author,CaptureSoftware,CroppedAreaImageHeightPixels,CroppedAreaImageWidthPixels,CroppedAreaLeftPixels,CroppedAreaTopPixels,ExposureLockUsed,FileName,FirstPhotoDate,FrameId,FullPanoHeightPixels,FullPanoWidthPixels,GPSAltitude,GPSAzimuth,GPSLatitude,GPSLongitude,GPSSpeed,GPSSpeedRef,ImageHeight,ImageWidth,InitialCameraDolly,InitialHorizontalFOVDegrees,InitialViewHeadingDegrees,InitialViewPitchDegrees,InitialViewRollDegrees,PoseHeadingDegrees,PosePitchDegrees,PoseRollDegrees,ProjectionType,Repository,SourcePhotosCount,StitchingSoftware,SurveyDescription,SurveyName,SurveyType,UsePanoramaViewer,XMP:ImageType
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013375_20170902101532.JPG,2017:09:02,11,2688,5376,0,270,42.7949472222222,13.0932416666667,0,0,2688,5376,0,0,0,0,0,270.0,4.3,2.4,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013376_20170902101612.JPG,2017:09:02,12,2688,5376,0,247.5,42.7946916666667,13.0936527777778,0,0,2688,5376,0,0,0,0,0,247.5,4.6,-3.3,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013377_20170902101634.JPG,2017:09:02,13,2688,5376,0,247.5,42.7947138888889,13.0934305555556,0,0,2688,5376,0,0,0,0,0,247.5,9.5,-3.5,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013378_20170902102252.JPG,2017:09:02,14,2688,5376,0,0,42.7948027777778,13.0932861111111,0,0,2688,5376,0,0,0,0,0,0.0,6.5,4.6,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013381_20170902103602.JPG,2017:09:02,17,2688,5376,0,112.5,42.7944444444444,13.0931138888889,0,0,2688,5376,0,0,0,0,0,112.5,-9.8,-3.8,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013382_20170902103619.JPG,2017:09:02,18,2688,5376,0,112.5,42.7944333333333,13.0929972222222,0,0,2688,5376,0,0,0,0,0,112.5,-5.3,-5.0,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013384_20170902104716.JPG,2017:09:02,20,2688,5376,0,337.5,42.794575,13.0931166666667,0,0,2688,5376,0,0,0,0,0,65.2,-57.5,-87.3,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013388_20170902105849.JPG,2017:09:02,24,2688,5376,0,22.5,42.794575,13.0931166666667,0,0,2688,5376,0,0,0,0,0,22.5,14.9,-65.7,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013393_20170902111144.JPG,2017:09:02,26,2688,5376,0,247.5,42.7943166666667,13.0924861111111,0,0,2688,5376,0,0,0,0,0,247.5,-6.4,-0.1,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013394_20170902111201.JPG,2017:09:02,27,2688,5376,0,270,42.7944694444444,13.0925361111111,0,0,2688,5376,0,0,0,0,0,270.0,-7.3,0.4,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013395_20170902111229.JPG,2017:09:02,28,2688,5376,0,315,42.7944694444444,13.0925361111111,0,0,2688,5376,0,0,0,0,0,315.0,-7.7,5.4,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013396_20170902111311.JPG,2017:09:02,29,2688,5376,0,292.5,42.7944694444444,13.0925361111111,0,0,2688,5376,0,0,0,0,0,292.5,-6.3,0.2,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013397_20170902111338.JPG,2017:09:02,30,2688,5376,0,292.5,42.7947111111111,13.0925638888889,0,0,2688,5376,0,0,0,0,0,292.5,-0.5,-6.0,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013398_20170902111358.JPG,2017:09:02,31,2688,5376,0,292.5,42.7947111111111,13.0925638888889,0,0,2688,5376,0,0,0,0,0,292.5,-2.8,0.4,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013399_20170902111423.JPG,2017:09:02,32,2688,5376,0,0.0,42.7947111111111,13.0925638888889,0,0,2688,5376,0,0,0,0,0,0,12.2,-0.9,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013400_20170902111514.JPG,2017:09:02,33,2688,5376,0,0.0,42.7946527777778,13.0931944444444,0,0,2688,5376,0,0,0,0,0,0,-8.6,-11.6,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013401_20170902111541.JPG,2017:09:02,34,2688,5376,0,247.5,42.7943416666667,13.0932361111111,0,0,2688,5376,0,0,0,0,0,247.5,0.4,5.5,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013402_20170902111715.JPG,2017:09:02,35,2688,5376,0,225,42.7945861111111,13.0930472222222,0,0,2688,5376,0,0,0,0,0,225.0,-10.8,-3.6,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013406_20170902121436.JPG,2017:09:02,36,2688,5376,0,67.5,42.7943638888889,13.0930833333333,0,0,2688,5376,0,0,0,0,0,67.5,-0.8,-4.6,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013407_20170902121456.JPG,2017:09:02,37,2688,5376,0,22.5,42.7943611111111,13.0931972222222,0,0,2688,5376,0,0,0,0,0,22.5,1.2,-2.5,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013408_20170902121532.JPG,2017:09:02,38,2688,5376,0,112.5,42.7944027777778,13.0934527777778,0,0,2688,5376,0,0,0,0,0,112.5,3.5,-2.3,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013409_20170902121620.JPG,2017:09:02,39,2688,5376,0,247.5,42.7944694444444,13.0935055555556,0,0,2688,5376,0,0,0,0,0,247.5,1.4,-2.5,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013410_20170902121651.JPG,2017:09:02,40,2688,5376,0,315,42.79455,13.0937611111111,0,0,2688,5376,0,0,0,0,0,315.0,8.8,-1.7,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013411_20170902121712.JPG,2017:09:02,41,2688,5376,0,180,42.7945361111111,13.0938055555556,0,0,2688,5376,0,0,0,0,0,180.0,-3.7,-0.6,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013412_20170902121733.JPG,2017:09:02,42,2688,5376,0,135,42.7944333333333,13.0939305555556,0,0,2688,5376,0,0,0,0,0,135.0,2.9,3.1,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013413_20170902121805.JPG,2017:09:02,43,2688,5376,0,292.5,42.7942972222222,13.0939138888889,0,0,2688,5376,0,0,0,0,0,292.5,-7.7,10.1,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013414_20170902121839.JPG,2017:09:02,44,2688,5376,0,0,42.7943388888889,13.0939777777778,0,0,2688,5376,0,0,0,0,0,0.0,5.0,-1.4,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013415_20170902121943.JPG,2017:09:02,45,2688,5376,0,225,42.7942833333333,13.0939722222222,0,0,2688,5376,0,0,0,0,0,225.0,3.7,-7.5,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013416_20170902122038.JPG,2017:09:02,46,2688,5376,0,202.5,42.7943916666667,13.0939194444444,0,0,2688,5376,0,0,0,0,0,202.5,2.8,1.0,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013418_20170902123309.JPG,2017:09:02,47,2688,5376,0,180,42.794375,13.0937583333333,0,0,2688,5376,0,0,0,0,0,180.0,2.6,1.9,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013419_20170902123328.JPG,2017:09:02,48,2688,5376,0,270,42.7944916666667,13.0937472222222,0,0,2688,5376,0,0,0,0,0,270.0,3.2,-2.1,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013420_20170902123412.JPG,2017:09:02,49,2688,5376,0,202.5,42.7944388888889,13.0938666666667,0,0,2688,5376,0,0,0,0,0,202.5,-0.9,-2.7,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013421_20170902123453.JPG,2017:09:02,50,2688,5376,0,67.5,42.7943944444444,13.0935833333333,0,0,2688,5376,0,0,0,0,0,67.5,9.3,-0.9,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013423_20170902123738.JPG,2017:09:02,51,2688,5376,0,0.0,42.7944083333333,13.0937527777778,0,0,2688,5376,0,0,0,0,0,0,-0.7,-2.2,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013424_20170902123757.JPG,2017:09:02,52,2688,5376,0,67.5,42.7944444444444,13.0935194444444,0,0,2688,5376,0,0,0,0,0,67.5,-1.6,2.7,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013427_20170902141724 - Copy.JPG,2017:09:02,53,2688,5376,0,157.5,42.7932888888889,13.0928916666667,0,0,2688,5376,0,0,0,0,0,157.5,0.4,2.1,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013427_20170902141724.JPG,2017:09:02,54,2688,5376,0,157.5,42.7932888888889,13.0928916666667,0,0,2688,5376,0,0,0,0,0,157.5,0.4,2.1,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013428_20170902141754.JPG,2017:09:02,55,2688,5376,0,202.5,42.7932888888889,13.0928916666667,0,0,2688,5376,0,0,0,0,0,202.5,6.2,2.3,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013429_20170902141823.JPG,2017:09:02,56,2688,5376,0,90,42.7932888888889,13.0928916666667,0,0,2688,5376,0,0,0,0,0,90.0,-3.6,3.4,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013430_20170902141852.JPG,2017:09:02,57,2688,5376,0,0.0,42.7934305555556,13.0937194444444,0,0,2688,5376,0,0,0,0,0,0,-9.9,8.4,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013431_20170902141927.JPG,2017:09:02,58,2688,5376,0,90,42.7933083333333,13.0937888888889,0,0,2688,5376,0,0,0,0,0,90.0,-4.3,-4.8,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013432_20170902142050.JPG,2017:09:02,59,2688,5376,0,202.5,42.7932861111111,13.0936416666667,0,0,2688,5376,0,0,0,0,0,202.5,0.5,-0.3,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013433_20170902142122.JPG,2017:09:02,60,2688,5376,0,90,42.7935,13.0936944444444,0,0,2688,5376,0,0,0,0,0,90.0,-0.9,-5.3,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013434_20170902142139.JPG,2017:09:02,61,2688,5376,0,112.5,42.7934916666667,13.0937805555556,0,0,2688,5376,0,0,0,0,0,112.5,-4.3,-1.9,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013435_20170902142234.JPG,2017:09:02,62,2688,5376,0,0,42.7935027777778,13.0937138888889,0,0,2688,5376,0,0,0,0,0,0.0,2.5,2.9,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013436_20170902142254.JPG,2017:09:02,63,2688,5376,0,0,42.7936833333333,13.0935944444444,0,0,2688,5376,0,0,0,0,0,0.0,-1.8,-0.9,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
"V.Putrino valentina.putrino.14@ucl.ac.uk, D.D'Ayala d.dayala@ucl.ac.uk",UCL,2688,5376,0,0,false,R0013437_20170902142344.JPG,2017:09:02,64,2688,5376,0,90,42.7935666666667,13.0934583333333,0,0,2688,5376,0,0,0,0,0,90.0,-0.6,2.9,equirectangular,['ucl_norcia_2017'],6,UCL,"Survey conducted by UCL in Norcia, Italy in 2017 (damage in 2016)",ucl_norcia_2017,RRVS,True,pano
